sloc1	scate2	platform	clks	clks_one_day
10015	152	app	16	2
10015	314	app	2	0
10039	14326	m	84	12
1005	207	m	16	2
10088	125	pc	31	4
10088	460	m	103	14
10088	8543	pc	25	3
10106	133	app	50	7
10106	14455	app	309	44
10106	35984	pc	19	2
10115	133	pc	6	0
10115	14455	pc	9	1
10120	14000	m	611	87
10120	8735	app	146	20
10134	8523	pc	58	8
1016	14255	pc	59	8
1016	14419	m	27	3
1016	24056	pc	12	1
1016	35694	pc	87	12
10171	36008	app	17	2
10184	102	m	13	1
10198	35136	app	240	34
10198	35721	pc	70	10
102	125	app	3526	503
102	710	pc	2149	307
102	712	m	35	5
102	8543	app	625	89
102	97	pc	598	85
10266	460	pc	18	2
10304	14419	app	83	11
10304	360	m	18	2
10304	8445	m	17	2
10362	102	pc	1	0
10387	95	app	1302	186
1039	156	m	2227	318
1039	34807	app	14	2
10417	309	app	6	0
10417	8493	pc	89	12
10434	111	pc	24	3
10434	26513	m	4	0
10434	8719	app	69	9
10454	8609	pc	4	0
10467	234	m	99	14
10485	96	pc	137	19
10506	148	app	31	4
10513	168	pc	103	14
10513	212	pc	35	5
10513	8658	app	4	0
10513	96	m	508	72
10524	102	pc	4	0
10536	343	app	69	9
10536	8761	app	4	0
10539	199	m	2	0
10564	34806	app	26	3
10564	8735	m	22	3
1057	14502	pc	108	15
1057	22431	app	226	32
1078	36011	m	169	24
1078	36488	app	25	3
1086	343	m	3	0
1086	8761	m	4	0
1096	199	m	3	0
11226	168	m	114	16
11226	212	m	4	0
11296	125	m	199	28
11296	26523	pc	8	1
122	350	m	71	10
12291	14502	pc	28	4
12291	22431	app	250	35
135	23065	pc	108	15
135	35828	app	493	70
13950	37865	app	8	1
13951	196	pc	44	6
14357	168	app	250	35
14357	212	app	17	2
14357	36008	pc	3	0
147	23442	m	12	1
158	14286	app	2094	299
16	26523	m	81	11
172	128	pc	1264	180
172	26520	pc	54	7
172	26522	m	13	1
172	8546	pc	218	31
1734	8516	pc	110	15
18	14379	pc	364	52
18	190	app	1200	171
188	35136	app	7434	1062
188	35721	pc	180	25
188	37864	app	34	4
2	311	app	2417	345
2015	311	app	638	91
202	14286	app	3121	445
2037	8719	m	5	0
2038	460	pc	26	3
2039	29389	app	5	0
2039	360	app	189	27
2039	8445	app	217	31
2039	8537	m	16	2
2040	35984	app	2	0
2041	95	app	5841	834
2042	133	m	22	3
2042	14363	app	12	1
2042	14455	m	20	2
2042	203	app	241	34
2042	26531	pc	9	1
2043	26523	m	7	1
2044	111	pc	73	10
2044	26513	m	57	8
2044	8719	app	165	23
2045	14379	pc	301	43
2046	8537	app	153	21
2048	29389	pc	47	6
2048	360	pc	66	9
2048	8445	pc	1	0
2048	8609	m	15	2
2049	190	m	55	7
2049	23087	pc	76	10
2049	350	pc	34	4
2050	8659	app	12	1
2050	95	pc	76	10
2050	97	m	5	0
2053	8719	pc	1093	156
2055	8537	pc	6	0
2055	8609	app	6	0
2192	207	app	37	5
2192	38118	pc	1	0
222	311	app	542	77
2247	152	pc	2	0
2247	314	pc	12	1
2248	96	app	957	136
228	14000	m	1306	186
228	207	app	293	41
228	8717	m	10	1
2292	8516	app	360	51
2292	8608	m	1	0
2296	35136	m	56	8
2296	798	app	81	11
2296	8855	pc	5	0
2299	14000	m	985	140
2299	8735	app	215	30
2303	14354	pc	15	2
2323	34323	app	2	0
2323	609	m	227	32
2325	15520	pc	5	0
2329	133	app	24	3
2329	14455	app	162	23
2329	34806	m	1	0
2329	35984	pc	7	1
2337	145	m	1	0
2337	710	app	16	2
2337	97	app	275	39
2344	8493	m	6	0
2346	125	app	143	20
2346	710	pc	13	1
2346	712	m	6	0
2346	8543	app	51	7
2346	97	pc	49	7
2347	207	m	54	7
2350	14000	app	357	51
2354	207	app	38	5
2354	8717	m	8	1
2360	309	app	22	3
2360	8493	pc	3	0
2363	207	pc	129	18
2363	26517	app	6	0
2371	460	pc	18	2
2372	29389	app	72	10
2372	360	app	399	57
2372	8445	app	202	28
2372	8537	m	71	10
2373	23087	app	247	35
2373	350	app	72	10
2381	360	pc	33	4
2381	8445	pc	11	1
2381	8609	m	9	1
2389	26520	m	477	68
2393	196	pc	8	1
2394	186	pc	31	4
2394	36008	app	69	9
2395	130	app	4	0
2395	14001	app	14	2
2395	35981	pc	1	0
2397	156	pc	171	24
2408	234	app	109	15
241	35136	pc	646	92
241	37864	pc	2	0
241	37866	m	1	0
241	95	m	25716	3673
2422	186	m	11	1
2429	26516	m	45	6
2429	611	m	29	4
2429	8442	app	204	29
2501	609	pc	51	7
276	152	m	66	9
276	314	m	64	9
276	36012	m	24	3
291	234	app	1939	277
293	96	app	66	9
296	8558	app	45	6
