sloc1	scate2	platform	clks_one_day
1	36008	pc	22
1	38118	app	0
10039	111	app	1
1005	14502	m	0
10097	311	pc	0
10097	8546	m	0
10134	96	app	2
10159	8493	m	0
1016	14526	app	0
102	609	pc	151
10266	102	m	0
10285	22431	app	1
10285	95	pc	0
10387	234	m	0
1039	14000	m	19
10417	168	m	0
10417	212	m	2
10448	203	pc	0
10506	190	pc	0
10506	95	m	8
10536	96	pc	10
1057	111	m	6
1096	23087	app	0
12291	111	m	7
135	311	m	2
147	309	m	1
158	710	app	29
158	97	app	4
16	199	pc	0
172	8493	app	12
1734	168	pc	5
1734	207	app	0
1734	212	pc	0
18	14354	m	4
2	14001	pc	0
202	710	app	26
202	97	app	4
2038	102	m	0
2039	35691	m	0
2043	96	m	12
2046	156	app	0
2049	14286	app	1
2053	130	app	3
2054	199	pc	1
2247	35694	pc	1
2247	36011	app	0
2296	35694	app	0
2303	125	m	7
2303	8543	m	0
2342	186	m	0
2346	609	pc	1
2347	14502	m	0
2360	168	m	0
2360	212	m	0
2364	8546	m	0
2372	35691	m	0
2378	14326	app	0
2378	460	pc	2
2395	609	app	4
241	14419	app	4
2422	14326	app	11
2422	35136	m	0
2422	460	pc	6
2429	207	m	1
265	203	pc	85
291	35691	app	1
291	8523	pc	5
3	128	pc	47
3	26515	app	0
3	8546	pc	18
3157	35828	pc	0
3177	156	pc	8
3177	23087	m	0
3184	125	app	1
3184	130	pc	0
319	186	pc	1
3237	609	pc	2
3251	168	m	4
3251	212	m	2
3328	460	m	13
3350	14000	app	0
342	14455	m	136
3470	8523	pc	4
355	360	app	3
355	8445	app	1
362	35694	m	4
362	8537	app	0
362	8692	m	0
37	14326	m	185
37	8608	app	10
385	14326	pc	2
394	611	m	2
4	118	pc	16
403	14419	app	0
414	171	pc	1
414	37863	app	3
414	8746	app	0
424	14526	m	17
450	609	m	26
463	8735	m	0
468	8523	m	0
471	8493	m	3
483	133	app	18
497	310	m	3
497	34807	pc	0
497	611	pc	2
5	24056	app	0
5	35694	app	12
5	8692	app	0
505	152	pc	0
505	309	app	0
518	8558	pc	0
523	37981	m	1
541	310	m	21
541	611	pc	17
556	611	m	1
5669	26516	app	0
5853	102	app	0
606	14326	m	46
606	8608	app	3
613	125	pc	12
613	8543	pc	2
637	95	app	27
652	186	pc	0
656	14455	app	0
669	14286	pc	2
6700	96	pc	12
6718	156	app	6
6745	35691	app	1
6745	710	pc	1
6752	8558	app	0
6770	14326	app	0
6770	460	pc	0
6793	186	pc	0
6921	8493	pc	0
6921	8516	m	11
693	310	app	4
700	14455	app	9
7133	156	m	24
726	96	app	2
728	14286	m	0
728	8735	pc	0
740	102	m	33
7453	15520	pc	0
771	199	m	1
801	360	pc	0
801	36488	m	0
821	8735	app	0
837	118	pc	1
837	37981	app	1
910	111	NULL	0
910	156	app	24
910	8558	m	5
914	35691	m	1
914	611	app	3
93	125	app	22
93	130	pc	17
93	14379	m	3
93	8543	app	3
9422	96	app	0
9499	168	m	2
9499	212	m	1
9517	310	m	0
952	710	m	0
952	97	m	0
961	125	m	15
961	8543	m	1
968	360	app	1
9709	128	m	0
9736	203	pc	0
9799	190	app	0
1	22431	app	99
1	8516	app	497
1005	186	pc	0
10134	130	pc	0
102	196	pc	40
102	23087	pc	30
10417	26523	m	0
10536	125	pc	1
1057	156	app	26
1057	8558	m	1
1078	15520	m	0
1086	8608	app	0
1096	35694	pc	1
1096	36011	app	0
122	190	m	18
12291	156	app	32
12291	8558	m	0
12804	35691	app	0
135	8608	pc	0
147	102	m	22
172	15520	pc	1
172	36008	app	3
18	26521	app	0
18	37981	m	6
2	14363	pc	2
2	199	m	2
2015	199	m	2
2043	125	m	1
2045	8523	m	15
2046	35694	m	2
2048	96	pc	5
2049	14526	pc	2
2052	95	app	73
2053	203	app	73
2192	8735	app	0
222	199	m	0
2247	156	m	16
2248	609	pc	3
228	26531	m	0
228	8735	app	4
2303	96	app	21
2307	609	m	4
2325	311	m	0
2347	186	pc	0
2354	8735	app	0
2373	460	app	2
2380	14379	app	1
2380	41588	m	0
2394	234	m	0
241	710	m	10
241	97	m	0
265	14379	app	0
291	14286	pc	1
293	609	pc	0
296	611	m	0
304	314	m	4
3177	111	pc	0
3177	36011	m	0
3184	203	pc	5
3237	196	pc	0
3251	26523	m	0
3251	36012	pc	0
3434	96	pc	3
3479	35691	app	2
355	35691	app	0
355	8523	pc	7
367	35694	pc	0
385	133	app	2
394	360	m	7
399	310	m	2
399	611	pc	0
4	8609	pc	9
403	710	m	0
403	97	m	0
407	26523	m	0
408	14000	app	0
413	34806	m	3
414	8523	m	186
424	26531	app	0
450	196	m	1
455	609	pc	1
468	8735	pc	0
469	8558	app	0
483	8608	m	17
497	360	pc	4
497	36488	m	0
497	8445	pc	0
5	190	pc	22
5	95	m	263
502	611	m	0
520	8516	m	0
523	207	pc	0
531	460	pc	2
5333	14000	m	3
5334	8493	m	0
541	360	pc	12
541	36488	m	0
541	8445	pc	5
556	360	m	4
5632	15520	m	0
5669	360	app	0
5709	8608	pc	0
572	168	pc	17
572	207	app	0
5756	35691	app	0
5853	14502	pc	0
5898	36488	m	0
5959	14455	app	0
623	130	m	0
623	8516	pc	7
629	14502	m	0
648	14000	pc	0
6700	125	pc	4
6718	111	app	2
6718	234	pc	0
6718	35694	m	0
6729	8537	app	0
6745	14286	pc	0
6752	35694	app	1
679	8735	app	0
6793	14502	app	0
6964	95	pc	8
697	14000	app	0
698	460	app	0
710	609	app	5
7133	111	m	6
7154	190	m	0
725	8537	m	0
728	8523	app	8
7289	360	app	0
740	152	pc	0
740	26523	m	52
740	309	app	4
740	314	pc	1
7453	95	app	9
7468	190	app	2
776	199	pc	0
783	168	app	32
783	212	app	1
79	14000	pc	17
801	310	app	17
801	35691	pc	0
811	37863	app	0
821	14526	m	0
831	128	app	0
837	8609	pc	1
8398	14000	pc	0
8481	95	m	2
858	26523	m	0
858	309	app	0
8694	14326	pc	0
8716	168	m	0
8716	212	m	1
872	95	app	31
8854	8442	pc	0
891	14455	app	9
8973	97	app	0
901	14455	m	1
910	111	app	7
910	234	pc	5
914	360	app	1
9146	212	app	0
927	186	app	0
927	96	m	10
93	203	pc	59
9422	130	pc	0
9517	360	pc	0
9530	8516	app	6
961	96	app	25
967	34806	pc	0
968	35691	app	2
968	8523	pc	4
9704	133	m	0
9704	14455	m	2
9704	311	app	0
9799	14000	m	9
9993	14455	m	0
1	37861	m	2
1005	14502	app	0
10097	14455	pc	0
10134	14363	pc	0
10134	203	pc	0
10260	609	pc	0
1029	95	m	1
10362	156	pc	0
10362	23087	m	0
1039	14000	app	8
10417	168	app	3
10417	212	app	1
10461	14379	pc	0
10506	95	app	10
10524	156	pc	0
10524	23087	m	0
1057	111	app	4
1057	234	pc	1
1057	35694	m	2
1078	8442	pc	0
1096	156	m	4
11226	125	m	0
122	35984	pc	5
12291	111	app	10
12291	234	pc	2
12291	35694	m	0
12804	14286	pc	0
135	311	app	5
147	152	pc	0
147	26523	m	33
147	309	app	1
147	314	pc	1
18	14354	app	7
18	207	pc	31
2015	14326	pc	5
2032	609	pc	2
2039	35691	app	0
2043	96	app	15
2045	8735	pc	1
2047	609	m	6
2048	125	pc	1
2048	8543	pc	0
2052	14000	pc	1
2053	8493	pc	2
2053	8516	m	18
2247	111	m	6
228	14526	m	3
2296	234	m	0
2303	125	app	1
2303	130	pc	1
2307	22431	pc	0
2315	8546	pc	0
2325	35828	app	0
2342	96	m	61
2347	14502	app	0
2360	168	app	1
2360	212	app	0
2363	14326	m	6
2364	128	app	0
2364	14455	pc	0
2364	8546	app	0
2372	35691	app	0
2372	710	pc	0
2372	97	pc	0
2381	125	pc	1
2381	8543	pc	0
2398	8523	m	13
2422	35136	app	1
2429	168	pc	7
2429	207	app	2
2429	212	pc	1
276	199	app	1
293	196	pc	0
