sloc1	scate2	platform	cost	dispcnt	jz_cpm
1	36008	pc	301.45	140	2153.214285714286
1	38118	app	4.28	2	2140.0
10039	111	app	13.68	7	1954.2857142857142
1005	14502	m	1.9	2	950.0
10097	311	pc	2.0	1	2000.0
10097	8546	m	1.22	1	1220.0
10134	96	app	16.2	16	1012.5
10159	8493	m	0.92	1	920.0
1016	14526	app	1.0	1	1000.0
102	609	pc	10511.0	539	19500.927643784788
10266	102	m	1.0	1	1000.0
10285	22431	app	8.48	7	1211.4285714285713
10285	95	pc	3.68	4	920.0
10387	234	m	3.2	2	1600.0
1039	14000	m	235.6	120	1963.3333333333333
10417	168	m	4.5	5	900.0
10417	212	m	29.29	15	1952.6666666666667
10448	203	pc	0.92	1	920.0
10506	190	pc	2.0	2	1000.0
10506	95	m	64.33	58	1109.1379310344828
10536	96	pc	166.39	45	3697.5555555555557
1057	111	m	115.76	35	3307.4285714285716
1096	23087	app	0.9	1	900.0
12291	111	m	129.25	39	3314.102564102564
135	311	m	27.74	12	2311.6666666666665
147	309	m	14.51	9	1612.2222222222222
158	710	app	653.31	144	4536.875
158	97	app	28.52	28	1018.5714285714286
16	199	pc	10.0	5	2000.0
172	8493	app	604.95	60	10082.5
1734	168	pc	132.52	29	4569.6551724137935
1734	207	app	2.0	2	1000.0
1734	212	pc	6.0	5	1200.0
18	14354	m	38.76	28	1384.2857142857142
2	14001	pc	7.41	5	1482.0
202	710	app	1109.09	101	10981.089108910892
202	97	app	33.7	31	1087.0967741935483
2038	102	m	0.9	1	900.0
2039	35691	m	3.32	3	1106.6666666666667
2043	96	m	345.52	66	5235.151515151515
2046	156	app	2.7	3	900.0
2049	14286	app	8.9	7	1271.4285714285713
2053	130	app	40.1	15	2673.3333333333335
2054	199	pc	21.79	10	2179.0
2247	35694	pc	18.18	8	2272.5
2247	36011	app	0.9	1	900.0
2296	35694	app	2.79	3	930.0
2303	125	m	91.3	49	1863.265306122449
2303	8543	m	1.0	1	1000.0
2342	186	m	4.5	3	1500.0
2346	609	pc	9.4	9	1044.4444444444443
2347	14502	m	2.8	3	933.3333333333334
2360	168	m	3.6	4	900.0
2360	212	m	6.0	6	1000.0
2364	8546	m	1.0	1	1000.0
2372	35691	m	1.01	1	1010.0
2378	14326	app	1.9	2	950.0
2378	460	pc	33.07	9	3674.4444444444443
2395	609	app	38.93	21	1853.8095238095239
241	14419	app	54.74	18	3041.1111111111113
2422	14326	app	305.88	58	5273.793103448276
2422	35136	m	10.0	4	2500.0
2422	460	pc	197.03	15	13135.333333333334
2429	207	m	11.06	7	1580.0
265	203	pc	7539.46	367	20543.48773841962
291	35691	app	12.54	4	3135.0
291	8523	pc	165.62	25	6624.8
3	128	pc	1874.92	200	9374.6
3	26515	app	2.0	2	1000.0
3	8546	pc	772.87	91	8493.076923076924
3157	35828	pc	1.0	1	1000.0
3177	156	pc	87.82	44	1995.909090909091
3177	23087	m	1.1	1	1100.0
3184	125	app	6.3	7	900.0
3184	130	pc	10.62	2	5310.0
319	186	pc	9.58	7	1368.5714285714287
3237	609	pc	12.6	12	1050.0
3251	168	m	38.21	29	1317.5862068965516
3251	212	m	20.0	20	1000.0
3328	460	m	202.62	85	2383.764705882353
3350	14000	app	24.69	5	4938.0
342	14455	m	2157.57	881	2449.00113507378
3470	8523	pc	76.95	19	4050.0
355	360	app	31.05	23	1350.0
355	8445	app	7.3	8	912.5
362	35694	m	79.24	25	3169.6
362	8537	app	4.0	4	1000.0
362	8692	m	1.0	1	1000.0
37	14326	m	2193.99	1132	1938.1537102473499
37	8608	app	197.75	51	3877.450980392157
385	14326	pc	22.08	12	1840.0
394	611	m	96.71	19	5090.0
4	118	pc	225.86	91	2481.978021978022
403	14419	app	3.0	3	1000.0
414	171	pc	6.44	7	920.0
414	37863	app	35.44	21	1687.6190476190477
