sloc1	scate2	platform	common_pos
1005	14526	app	1
10115	360	pc	3
10171	95	m	1
102	14379	pc	7
102	96	app	15
10229	156	m	2
10260	125	pc	3
10260	8543	pc	1
10260	96	m	1
10266	14286	app	1
10285	8516	app	6
1029	8493	m	4
10291	310	pc	1
1039	35691	pc	2
10394	460	pc	2
10448	199	m	2
10461	186	pc	1
10506	8493	app	1
10524	14379	app	3
10524	609	pc	1
1057	38118	app	2
1057	8537	m	2
1067	15520	pc	1
1067	190	m	1
1096	196	app	1
11077	15520	pc	1
12291	8537	m	1
12804	360	app	3
12804	8445	app	1
14357	26523	m	1
14357	8659	m	2
147	710	app	4
147	97	app	1
158	171	pc	3
158	8523	app	7
16	128	app	3
16	8546	app	1
172	460	app	6
18	23065	pc	5
188	8658	m	1
2	133	pc	6
2	356	app	1
2015	133	pc	7
2015	14455	pc	10
2015	35828	app	2
202	171	pc	3
202	8523	app	9
2032	125	pc	3
2032	186	app	1
2032	8543	pc	1
2032	96	m	5
2038	14286	app	1
2039	611	app	1
2040	207	pc	1
2048	8761	m	1
2050	212	app	1
2053	14326	m	7
2054	128	app	5
2054	8546	app	3
222	133	pc	2
2248	125	m	1
2248	8543	m	1
2284	8523	app	2
2302	203	app	5
2325	36012	app	1
2328	460	pc	3
2337	14286	m	1
2344	234	app	1
2346	96	app	6
2347	14526	app	1
2363	8608	m	1
2371	14286	app	2
2372	611	app	2
2389	14379	m	1
2393	35984	m	1
2395	203	m	2
241	8523	pc	12
2429	14419	m	1
265	199	m	5
293	125	m	1
296	111	app	4
297	609	pc	4
3	168	m	10
3	212	m	15
3	8659	pc	4
3184	199	pc	1
319	34806	app	4
3237	96	app	6
3251	102	m	1
3266	314	pc	1
342	8855	pc	1
3479	360	app	2
355	234	m	4
357	125	pc	1
357	186	app	1
357	8543	pc	2
357	96	m	4
362	8493	pc	3
367	130	app	3
375	168	app	6
375	212	app	5
394	8558	app	5
399	156	pc	1
4	113	pc	1
4	23065	app	6
4	35984	pc	8
403	37863	app	3
403	8523	pc	5
408	611	app	2
413	14526	m	6
414	37981	pc	3
424	118	app	1
450	130	pc	7
455	125	m	2
455	8543	m	1
463	118	pc	1
471	460	m	7
483	14455	app	4
497	111	pc	5
497	156	m	6
5	36008	m	1
5	37861	app	1
500	14502	pc	1
518	196	app	1
523	190	app	1
523	23065	m	4
5334	460	pc	2
537	168	app	2
537	212	app	1
541	111	pc	5
541	156	m	8
541	8752	app	1
556	26516	m	1
556	8558	app	2
5653	8523	pc	3
5695	14502	pc	1
5695	34806	m	2
5756	360	app	2
5845	8608	app	1
5898	310	m	1
592	96	pc	5
5928	8735	pc	3
5936	8493	pc	1
618	14502	pc	1
623	14001	pc	1
623	199	app	1
645	14455	app	2
656	186	m	1
669	234	app	4
669	26521	pc	1
6718	37861	pc	1
6718	8692	pc	1
6729	8516	app	1
6788	37863	m	1
6921	14326	app	1
693	156	app	7
693	8558	m	2
700	186	m	1
710	130	m	3
710	203	pc	4
7133	8537	pc	1
722	128	m	1
722	8546	m	5
725	22431	m	1
7289	234	pc	1
7303	128	m	1
7303	8546	m	2
751	14286	app	1
7620	14286	m	1
771	133	m	2
771	311	app	3
772	35721	app	3
772	8659	m	1
783	26523	m	2
783	309	app	1
79	310	m	3
79	36488	pc	2
791	111	app	1
801	111	m	2
811	145	app	1
821	207	app	1
836	168	m	1
836	212	m	2
836	8659	pc	1
837	23065	app	2
837	35984	pc	2
8601	14455	app	1
8694	14455	m	9
8694	311	app	1
8760	8855	pc	1
882	14419	pc	1
8854	34807	pc	1
8854	36488	app	1
891	186	pc	1
910	35694	pc	2
914	234	pc	7
914	26516	app	1
93	199	pc	3
9326	23065	m	1
944	14455	m	2
944	38116	m	1
9449	26523	app	2
946	14000	app	2
9481	460	app	2
9517	111	pc	1
9517	156	m	1
952	14286	pc	8
952	8523	m	19
9529	96	app	2
9551	156	app	1
9551	35694	pc	1
9617	34806	app	2
9656	34806	pc	2
967	8735	pc	1
968	234	m	1
9688	128	app	1
9717	611	app	1
9749	14000	app	3
9811	111	app	1
9832	14000	pc	3
9832	190	app	1
9837	36008	app	1
984	309	pc	1
9854	360	pc	5
9854	611	m	1
10088	15520	pc	6
10106	14455	app	2
10106	8608	pc	1
10115	360	m	5
10120	8735	app	1
102	125	app	11
102	14379	m	6
102	8543	app	6
10260	125	m	3
10285	8493	pc	2
10291	310	m	2
1039	35691	m	2
10394	460	m	2
10461	186	m	1
10524	609	m	1
1057	22431	app	1
1057	8692	pc	1
1067	15520	m	1
1078	34807	pc	1
1096	22431	pc	1
122	15520	pc	5
12804	8746	pc	1
135	14455	pc	7
135	35828	app	1
14357	168	app	2
14357	212	app	4
158	14286	app	5
158	171	m	3
16	311	pc	4
172	310	pc	5
18	190	app	6
18	23065	m	5
188	35136	app	4
2	133	m	9
2	311	app	4
2015	133	m	8
2015	14455	m	18
2015	311	app	5
202	14286	app	5
202	171	m	3
2032	125	m	3
2032	8543	m	1
2039	360	app	5
2040	207	m	1
2041	95	app	1
2042	203	app	1
2042	8516	pc	4
2046	8537	app	1
2049	8735	pc	1
2050	26523	app	1
2052	36488	pc	1
2053	35136	pc	1
2054	311	pc	3
2192	207	app	1
222	133	m	2
222	311	app	2
2248	96	app	5
228	207	app	1
2307	130	pc	2
2315	168	pc	1
2319	128	pc	2
2319	8546	pc	1
2328	460	m	4
2329	14455	app	3
2329	8608	pc	1
2337	710	app	1
2346	125	app	5
2350	14000	app	3
2363	26517	app	1
2372	360	app	1
2372	8445	app	1
2373	23087	app	1
2373	350	app	1
2389	41588	pc	1
2390	8493	pc	1
2393	207	pc	1
2395	130	app	2
2404	8692	app	1
2408	234	app	3
241	14286	pc	8
241	8523	m	12
265	8645	pc	1
291	234	app	2
291	26521	pc	1
293	14379	pc	2
293	96	app	4
296	8558	app	1
297	196	pc	4
297	23087	pc	4
297	609	m	4
3	35721	app	5
3	8659	m	3
304	34806	pc	5
3177	609	app	5
3184	199	m	2
319	14502	app	5
3198	8493	app	1
3237	125	app	5
3237	8543	app	1
3251	309	app	1
3266	34806	pc	1
3359	14000	app	5
342	186	pc	3
342	8855	m	1
3470	234	app	2
357	125	m	1
357	8543	m	2
362	8493	m	3
367	203	app	1
367	22431	pc	1
367	8516	pc	1
385	14455	app	4
399	156	m	2
4	113	m	1
4	35984	m	8
4	8442	pc	5
403	14286	pc	2
403	8523	m	5
408	360	app	1
413	26531	app	6
414	26521	app	1
414	37981	m	3
450	130	m	8
450	203	pc	4
450	41588	app	1
455	96	app	6
463	118	m	1
463	8609	pc	1
497	111	m	4
497	8558	pc	2
5	8493	app	6
500	14502	m	1
502	8558	app	1
518	36011	app	1
531	14326	app	3
5334	460	m	2
536	8608	pc	1
541	111	m	5
541	34323	app	1
541	8558	pc	4
5632	34807	pc	1
5632	36488	app	2
5653	8523	m	3
5695	14502	m	1
5733	168	app	2
5733	212	app	1
5772	168	pc	5
5772	212	pc	2
5853	26531	pc	1
592	125	pc	7
592	8543	pc	4
592	96	m	6
5928	8735	m	2
5936	8493	m	2
5942	34323	app	2
618	14502	m	1
623	14001	m	1
629	14526	app	1
648	36488	m	1
652	14502	app	1
652	8444	app	1
656	96	pc	2
669	26521	m	1
6718	37861	m	1
6718	8692	m	1
6729	8493	pc	2
6752	95	pc	1
6760	14455	pc	4
6760	35828	app	1
679	207	app	1
6805	8558	app	1
686	14000	app	6
693	111	app	7
6964	8516	app	4
697	360	app	1
700	96	pc	8
710	203	m	5
7133	8537	m	1
7289	234	m	1
7453	36488	pc	1
751	8735	pc	1
772	168	app	7
772	212	app	3
776	128	app	2
79	36488	m	1
791	8558	app	2
801	156	app	6
811	37981	pc	1
831	35828	pc	1
836	8659	m	2
837	35984	m	2
837	8442	pc	3
845	37864	app	1
8481	8493	app	1
8760	186	pc	1
8760	8855	m	1
882	14419	m	1
891	186	m	1
910	35694	m	2
910	8537	app	1
914	234	m	8
93	199	m	3
9389	133	pc	1
9389	14455	pc	1
946	14419	pc	1
9472	128	app	1
9517	111	m	1
952	14286	m	7
9551	111	app	2
9551	35694	m	1
9656	14502	pc	1
9656	34806	m	1
9688	311	pc	1
9717	360	app	1
977	128	pc	1
977	8546	pc	4
979	95	app	1
9799	35691	pc	2
9811	8558	app	1
9832	14000	m	6
9837	95	app	1
984	102	pc	1
984	309	m	1
9854	360	m	7
9871	15520	pc	1
1	460	pc	14
10088	15520	m	4
10106	8608	m	2
10171	95	app	1
10198	460	pc	1
102	41588	pc	7
10229	156	app	2
10229	35694	pc	1
10260	96	app	1
10285	8493	m	2
1029	8493	app	2
10387	190	pc	1
10448	199	app	3
10461	96	pc	1
10506	36488	pc	1
10539	8537	pc	1
