sloc1	scate2	sloc-scate	online_price	member_price
801	8523	801-8523	19.2	14.4
450	8516	450-8516	18.72	14.04
1078	125	1078-125	18	13.5
2044	156	2044-156	16.8	12.6
394	203	394-203	31.68	23.76
102	8523	102-8523	80.16	60.12
16	8523	16-8523	14.4	10.8
37	35136	37-35136	14.4	10.8
471	8523	471-8523	14.4	10.8
1078	8523	1078-8523	14.4	10.8
772	8608	772-8608	14.4	10.8
102	26513	102-26513	14.4	10.8
645	460	645-460	14.4	10.8
2053	102	2053-102	14.4	10.8
450	460	450-460	14.4	10.8
2192	96	2192-96	14.4	10.8
291	460	291-460	14.4	10.8
2037	460	2037-460	14.4	10.8
7133	460	7133-460	14.4	10.8
5632	609	5632-609	14.4	10.8
772	14502	772-14502	14.4	10.8
394	8523	394-8523	14.4	10.8
2192	156	2192-156	14.4	10.8
228	360	228-360	14.4	10.8
914	8523	914-8523	14.4	10.8
463	190	463-190	14.4	10.8
463	8445	463-8445	14.4	10.8
722	8608	722-8608	14.4	10.8
12291	460	12291-460	14.4	10.8
952	314	952-314	14.4	10.8
2032	8523	2032-8523	14.4	10.8
772	314	772-314	14.4	10.8
791	168	791-168	14.4	10.8
2053	310	2053-310	14.4	10.8
1005	8516	1005-8516	14.4	10.8
2337	8523	2337-8523	14.4	10.8
2047	460	2047-460	14.4	10.8
463	14379	463-14379	14.4	10.8
2325	125	2325-125	13.44	10.08
362	8735	362-8735	14.4	10.8
7133	8659	7133-8659	17.52	13.14
872	96	872-96	12.24	9.18
2350	609	2350-609	12.24	9.18
523	125	523-125	12.24	9.18
700	125	700-125	12.24	9.18
2325	14000	2325-14000	12.24	9.18
483	145	483-145	12.24	9.18
2038	609	2038-609	12.24	9.18
772	14419	772-14419	12.24	9.18
463	14419	463-14419	12.24	9.18
7133	360	7133-360	12.24	9.18
927	609	927-609	12.24	9.18
2354	14326	2354-14326	12.24	9.18
772	710	772-710	12.24	9.18
10115	203	10115-203	12.24	9.18
2053	22431	2053-22431	12.24	9.18
3184	168	3184-168	12	9
914	310	914-310	12	9
5845	96	5845-96	11.28	8.46
710	14326	710-14326	12.24	9.18
2329	156	2329-156	12.24	9.18
2054	95	2054-95	43.44	32.58
837	460	837-460	79.2	59.4
1039	168	1039-168	30.24	22.68
2372	14000	2372-14000	14.4	10.8
297	96	297-96	7.92	5.94
297	125	297-125	7.92	5.94
296	156	296-156	7.92	5.94
296	8523	296-8523	7.92	5.94
297	14326	297-14326	7.92	5.94
297	23087	297-23087	7.92	5.94
297	168	297-168	7.92	5.94
297	8523	297-8523	7.92	5.94
296	95	296-95	7.92	5.94
297	95	297-95	7.92	5.94
293	203	293-203	7.92	5.94
523	460	523-460	7.68	5.76
9799	156	9799-156	7.68	5.76
8973	96	8973-96	7.68	5.76
2337	14000	2337-14000	7.68	5.76
5942	168	5942-168	7.68	5.76
10260	96	10260-96	7.68	5.76
10134	609	10134-609	7.68	5.76
592	460	592-460	7.68	5.76
6921	609	6921-609	7.68	5.76
5756	156	5756-156	7.68	5.76
9811	156	9811-156	7.68	5.76
330	710	330-710	7.68	5.76
2	8609	2-8609	7.68	5.76
471	8558	471-8558	7.68	5.76
330	14419	330-14419	7.68	5.76
13951	168	13951-168	7.68	5.76
686	212	686-212	7.68	5.76
355	23087	355-23087	7.68	5.76
8694	203	8694-203	7.68	5.76
6760	125	6760-125	7.68	5.76
5669	168	5669-168	7.68	5.76
722	8558	722-8558	7.68	5.76
9357	609	9357-609	7.68	5.76
9976	95	9976-95	7.68	5.76
5709	168	5709-168	7.68	5.76
984	133	984-133	7.68	5.76
5772	95	5772-95	7.68	5.76
8694	8516	8694-8516	7.68	5.76
882	14000	882-14000	7.68	5.76
5632	212	5632-212	7.68	5.76
2325	234	2325-234	7.68	5.76
2363	8659	2363-8659	7.68	5.76
3470	14326	3470-14326	7.68	5.76
505	212	505-212	7.68	5.76
1078	360	1078-360	7.68	5.76
2378	710	2378-710	7.68	5.76
2329	203	2329-203	7.68	5.76
6776	168	6776-168	7.68	5.76
993	125	993-125	7.68	5.76
6752	156	6752-156	7.68	5.76
686	14455	686-14455	7.68	5.76
1029	14000	1029-14000	7.68	5.76
914	26523	914-26523	7.68	5.76
645	111	645-111	7.68	5.76
10106	96	10106-96	7.68	5.76
2378	311	2378-311	7.68	5.76
2054	212	2054-212	7.68	5.76
355	710	355-710	7.68	5.76
961	8516	961-8516	7.68	5.76
8694	96	8694-96	7.68	5.76
375	360	375-360	7.68	5.76
1078	26523	1078-26523	7.68	5.76
7133	710	7133-710	7.68	5.76
276	35694	276-35694	7.68	5.76
1067	102	1067-102	7.68	5.76
2299	168	2299-168	7.68	5.76
10434	609	10434-609	7.68	5.76
2325	111	2325-111	7.68	5.76
79	23065	79-23065	14.4	10.8
669	8543	669-8543	28.08	21.06
413	35694	413-35694	6.48	4.86
872	8516	872-8516	7.68	5.76
523	8523	523-8523	20.16	15.12
910	8523	910-8523	20.16	15.12
362	128	362-128	29.52	22.14
471	125	471-125	58.08	43.56
3359	96	3359-96	7.68	5.76
291	8516	291-8516	21.12	15.84
3177	460	3177-460	14.4	10.8
2041	168	2041-168	22.08	16.56
9357	156	9357-156	7.68	5.76
2381	156	2381-156	14.4	10.8
304	8608	304-8608	3.6	2.7
2045	35694	2045-35694	9.6	7.2
424	196	424-196	7.68	5.76
2372	310	2372-310	12.24	9.18
158	203	158-203	119.28	89.46
102	171	102-171	3.12	2.34
319	35984	319-35984	3.12	2.34
4	14255	4-14255	3.12	2.34
837	118	837-118	3.12	2.34
122	35136	122-35136	3.12	2.34
3	37863	3-37863	3.12	2.34
837	14255	837-14255	3.12	2.34
202	14363	202-14363	3.12	2.34
79	8609	79-8609	3.12	2.34
79	14379	79-14379	3.12	2.34
16	609	16-609	26.88	20.16
37	14379	37-14379	4.56	3.42
3	24056	3-24056	3.12	2.34
188	14001	188-14001	3.12	2.34
37	8752	37-8752	3.12	2.34
10485	156	10485-156	7.68	5.76
158	171	158-171	3.12	2.34
3328	609	3328-609	12.24	9.18
276	710	276-710	7.68	5.76
2319	203	2319-203	14.4	10.8
933	111	933-111	7.68	5.76
811	190	811-190	35.52	26.64
172	314	172-314	3.12	2.34
158	314	158-314	3.12	2.34
3251	460	3251-460	14.4	10.8
10134	203	10134-203	14.4	10.8
977	8516	977-8516	7.68	5.76
297	460	297-460	7.92	5.94
172	171	172-171	3.12	2.34
342	171	342-171	3.12	2.34
811	8558	811-8558	20.16	15.12
296	96	296-96	7.92	5.94
2429	8523	2429-8523	14.4	10.8
355	360	355-360	14.4	10.8
772	609	772-609	80.16	60.12
414	14379	414-14379	3.6	2.7
9709	156	9709-156	7.68	5.76
102	8761	102-8761	3.12	2.34
122	314	122-314	3.12	2.34
5853	168	5853-168	12.24	9.18
319	8609	319-8609	6.72	5.04
102	8752	102-8752	3.12	2.34
872	609	872-609	35.04	26.28
1734	310	1734-310	7.68	5.76
188	171	188-171	3.12	2.34
518	212	518-212	7.68	5.76
355	8516	355-8516	14.4	10.8
414	118	414-118	3.6	2.7
606	309	606-309	3.12	2.34
276	460	276-460	20.16	15.12
342	360	342-360	46.32	34.74
2303	168	2303-168	7.68	5.76
5633	168	5633-168	7.68	5.76
837	8609	837-8609	3.12	2.34
2325	102	2325-102	7.68	5.76
9551	168	9551-168	7.68	5.76
18	14379	18-14379	3.12	2.34
845	35828	845-35828	3.12	2.34
342	314	342-314	3.12	2.34
265	8546	265-8546	3.12	2.34
4	23442	4-23442	3.12	2.34
413	145	413-145	3.12	2.34
93	8444	93-8444	3.12	2.34
122	14379	122-14379	3.12	2.34
2	8752	2-8752	3.12	2.34
845	8546	845-8546	3.12	2.34
79	36008	79-36008	3.12	2.34
740	314	740-314	3.12	2.34
147	171	147-171	3.12	2.34
319	314	319-314	3.12	2.34
265	14379	265-14379	3.12	2.34
265	36008	265-36008	3.12	2.34
79	26516	79-26516	3.12	2.34
414	14363	414-14363	3.12	2.34
606	14379	606-14379	3.12	2.34
5	314	5-314	3.12	2.34
202	8546	202-8546	3.12	2.34
837	8855	837-8855	3.12	2.34
102	36012	102-36012	3.12	2.34
319	171	319-171	3.12	2.34
845	8658	845-8658	3.12	2.34
304	171	304-171	3.12	2.34
5	8855	5-8855	3.12	2.34
241	171	241-171	3.12	2.34
845	35984	845-35984	3.12	2.34
188	8746	188-8746	3.12	2.34
740	145	740-145	3.12	2.34
18	8752	18-8752	3.12	2.34
37	26521	37-26521	3.12	2.34
122	8855	122-8855	3.12	2.34
188	8855	188-8855	3.12	2.34
102	26520	102-26520	3.12	2.34
93	8752	93-8752	3.12	2.34
188	8609	188-8609	3.12	2.34
79	118	79-118	3.12	2.34
1039	212	1039-212	7.68	5.76
5	36008	5-36008	3.6	2.7
202	356	202-356	3.6	2.7
319	26531	319-26531	3.6	2.7
740	152	740-152	3.6	2.7
10417	156	10417-156	7.68	5.76
2344	156	2344-156	7.68	5.76
3251	168	3251-168	12.24	9.18
9656	609	9656-609	12.24	9.18
10434	168	10434-168	7.68	5.76
483	26516	483-26516	15.6	11.7
2372	460	2372-460	7.68	5.76
102	460	102-460	88.8	66.6
518	23087	518-23087	14.4	10.8
