sloc1	scate2	platform	clks_one_day	sloc-scate	online_price	member_price	valid_rate_new	jz_clks_one_day	predict_clks	pos_ctr	common_pos_jz	common_pos_zd	start_pos	end_pos	zd_get_clks	acp_jz	zd_cnt	zdprice
102	125	app	503	102-125	304.08	228.06	1.0	100.0	503.0	0.36245036869	11.0	9	12.0	30.0	100.0	4.6915990676	18.0	26.06
102	125	m	3139	102-125	304.08	228.06	0.9	1220.0	2825.1	0.19114367633	16.0	9	17.0	35.0	540.0	5.11891755354	18.0	153.57
102	125	pc	358	102-125	304.08	228.06	0.6	91.0	214.8	0.274720893142	14.0	9	15.0	33.0	59.0	4.39024691358	18.0	14.39
102	710	pc	307	102-710	53.04	39.78	0.81	38.0	248.67	0.0600279199628	5.0	2	6.0	12.0	15.0	3.25955882353	6.0	8.15
102	710	app	178	102-710	53.04	39.78	1.0	34.0	178.0	0.376301040833	6.0	2	7.0	13.0	34.0	3.125175	6.0	17.71
102	710	m	142	102-710	53.04	39.78	0.99	27.0	140.58	0.244244244244	7.0	2	8.0	14.0	27.0	2.498375	6.0	11.24
102	8543	app	89	102-8543	72.96	54.72	1.0	17.0	89.0	0.3152	6.0	4	7.0	15.0	17.0	3.79892857143	8.0	8.07
102	8543	m	36	102-8543	72.96	54.72	0.96	8.0	34.56	0.170634920635	12.0	4	13.0	21.0	6.0	1.58125	8.0	1.19
102	8543	pc	120	102-8543	72.96	54.72	0.61	21.0	73.2	0.184085510689	9.0	4	10.0	18.0	13.0	1.541	8.0	2.5
102	97	pc	85	102-97	84.96	63.72	0.83	17.0	70.55	0.137123745819	6.0	2	7.0	13.0	10.0	1.065	6.0	1.77
102	97	app	1280	102-97	84.96	63.72	1.0	47.0	1280.0	0.315002788622	4.0	2	5.0	11.0	47.0	1.05966666667	6.0	8.3
102	97	m	355	102-97	84.96	63.72	0.98	51.0	347.9	0.195494770716	5.0	2	6.0	12.0	51.0	0.965555555556	6.0	8.21
1039	156	m	318	1039-156	41.76	31.32	0.96	65.0	305.28	0.20700493938	8.0	4	9.0	17.0	63.0	1.36849206349	8.0	10.78
1039	156	pc	67	1039-156	41.76	31.32	0.75	18.0	50.25	0.191082802548	7.0	4	8.0	16.0	10.0	1.55477777778	8.0	1.94
