sloc1	scate2	zdprice	online_price	member_price	price	diff	range
1	95	649.16	371.76	278.82	427.24	55.48	0.149236066279
1	96	928.89	436.56	327.42	535.026	98.466	0.225549752611
1	97	31.82	115.68	86.76	98.908	-16.772	-0.144986168741
1	102	211.66	88.8	66.6	113.372	24.572	0.276711711712
1	113	1.98	43.44	32.58	35.148	-8.292	-0.190883977901
1	118	9.36	79.92	59.94	65.808	-14.112	-0.176576576577
1	125	552.05	531.6	398.7	535.69	4.09	0.00769375470278
1	128	67.92	313.92	235.44	264.72	-49.2	-0.156727828746
1	130	49.83	175.68	131.76	150.51	-25.17	-0.143271857923
1	133	23.58	135.6	101.7	113.196	-22.404	-0.165221238938
1	145	12.59	52.8	39.6	44.758	-8.042	-0.152310606061
1	152	4.34	78.48	58.86	63.652	-14.828	-0.188939857288
1	156	698.35	490.32	367.74	531.926	41.606	0.0848547887094
1	168	306.11	212.4	159.3	231.142	18.742	0.0882391713748
1	171	3.57	14.4	10.8	12.234	-2.166	-0.150416666667
1	186	12.15	56.4	42.3	47.55	-8.85	-0.156914893617
1	190	91.96	127.68	95.76	120.536	-7.144	-0.0559523809524
1	196	70.84	204.72	153.54	177.944	-26.776	-0.130793278624
1	199	10.96	158.16	118.62	128.72	-29.44	-0.186140617097
1	203	388.49	321.6	241.2	334.978	13.378	0.0415982587065
1	207	42.12	178.08	133.56	150.888	-27.192	-0.15269541779
1	212	150.92	230.64	172.98	214.696	-15.944	-0.069129379119
1	234	103.37	138.0	103.5	131.074	-6.926	-0.0501884057971
1	310	41.45	118.56	88.92	103.138	-15.422	-0.130077597841
1	311	39.03	103.68	77.76	90.75	-12.93	-0.124710648148
1	314	6.45	30.24	22.68	25.482	-4.758	-0.157341269841
1	350	21.1	36.0	27.0	33.02	-2.98	-0.0827777777778
1	360	190.72	201.12	150.84	199.04	-2.08	-0.0103420843278
1	460	204.26	114.72	86.04	132.628	17.908	0.15610181311
1	609	193.05	290.64	217.98	271.122	-19.518	-0.0671552436003
1	611	46.89	155.28	116.46	133.602	-21.678	-0.139605873261
1	710	55.82	88.8	66.6	82.204	-6.596	-0.0742792792793
1	798	0.63	51.12	38.34	41.022	-10.098	-0.197535211268
1	8442	10.87	90.96	68.22	74.942	-16.018	-0.176099384345
1	8445	89.18	79.44	59.58	81.388	1.948	0.0245216515609
1	8493	57.97	147.36	110.52	129.482	-17.878	-0.121321932682
1	8516	257.66	257.04	192.78	257.164	0.124	0.000482415188298
1	8523	186.3	193.2	144.9	191.82	-1.38	-0.00714285714286
1	8537	10.43	46.32	34.74	39.142	-7.178	-0.154965457686
1	8543	57.38	169.44	127.08	147.028	-22.412	-0.132271010387
1	8546	6.94	56.4	42.3	46.508	-9.892	-0.175390070922
1	8558	89.59	146.88	110.16	135.422	-11.458	-0.0780092592593
1	8608	32.84	130.56	97.92	111.016	-19.544	-0.149693627451
1	8609	1.9	53.04	39.78	42.812	-10.228	-0.192835595777
1	8659	22.34	98.4	73.8	83.188	-15.212	-0.154593495935
1	8692	1.3	33.84	25.38	27.332	-6.508	-0.19231678487
1	8717	14.91	36.96	27.72	32.55	-4.41	-0.119318181818
1	8719	1.2	36.0	27.0	29.04	-6.96	-0.193333333333
1	8735	15.02	57.84	43.38	49.276	-8.564	-0.14806362379
1	8746	1.28	21.36	16.02	17.344	-4.016	-0.188014981273
1	8761	1.84	7.68	5.76	6.512	-1.168	-0.152083333333
1	8855	6.0	21.36	16.02	18.288	-3.072	-0.143820224719
1	14000	89.42	295.44	221.58	254.236	-41.204	-0.139466558354
1	14001	0.96	43.2	32.4	34.752	-8.448	-0.195555555556
1	14286	16.96	170.88	128.16	140.096	-30.784	-0.180149812734
1	14326	203.77	328.8	246.6	303.794	-25.006	-0.0760523114355
1	14354	3.79	57.84	43.38	47.03	-10.81	-0.186894882434
1	14363	13.32	36.0	27.0	31.464	-4.536	-0.126
1	14379	9.02	46.32	34.74	38.86	-7.46	-0.161053540587
1	14419	11.38	95.76	71.82	78.884	-16.876	-0.176232247285
1	14455	99.79	162.72	122.04	150.134	-12.586	-0.0773475909538
1	14502	12.6	180.48	135.36	146.904	-33.576	-0.186037234043
1	14526	14.71	51.12	38.34	43.838	-7.282	-0.14244913928
1	15520	6.52	93.36	70.02	75.992	-17.368	-0.186032562125
1	22431	193.31	192.24	144.18	192.454	0.214	0.00111319184353
1	23065	135.47	181.44	136.08	172.246	-9.194	-0.0506723985891
1	23087	40.7	118.08	88.56	102.604	-15.476	-0.131063685637
1	24056	0.2	19.44	14.58	15.592	-3.848	-0.197942386831
1	26515	17.66	55.92	41.94	48.268	-7.652	-0.136838340486
1	26516	8.14	52.8	39.6	43.868	-8.932	-0.169166666667
1	26517	0.81	7.68	5.76	6.306	-1.374	-0.17890625
1	26518	0.72	21.36	16.02	17.232	-4.128	-0.193258426966
1	26522		14.4	10.8			
1	26523	22.56	119.28	89.46	99.936	-19.344	-0.162173038229
1	26531	86.71	110.4	82.8	105.662	-4.738	-0.0429166666667
1	34323	8.79	60.96	45.72	50.526	-10.434	-0.171161417323
1	34806	8.58	57.84	43.38	47.988	-9.852	-0.170331950207
1	34807	6.05	52.8	39.6	43.45	-9.35	-0.177083333333
1	35136	1.65	73.92	55.44	59.466	-14.454	-0.195535714286
1	35691	7.65	34.56	25.92	29.178	-5.382	-0.155729166667
1	35694	18.24	87.36	65.52	73.536	-13.824	-0.158241758242
1	35721	3.79	60.96	45.72	49.526	-11.434	-0.187565616798
1	35828	19.45	52.8	39.6	46.13	-6.67	-0.126325757576
1	35981		31.2	23.4			
1	35984	6.85	50.64	37.98	41.882	-8.758	-0.17294628752
1	36008	6.8	51.12	38.34	42.256	-8.864	-0.173395931142
1	36014	12.24	20.16	15.12	18.576	-1.584	-0.0785714285714
1	36488	5.17	25.68	19.26	21.578	-4.102	-0.159735202492
1	37861	1.3	14.4	10.8	11.78	-2.62	-0.181944444444
1	37862	0.35	14.4	10.8	11.59	-2.81	-0.195138888889
1	37863	5.89	27.84	20.88	23.45	-4.39	-0.157686781609
1	37865	1.98	14.4	10.8	11.916	-2.484	-0.1725
1	37981	7.38	41.52	31.14	34.692	-6.828	-0.164450867052
1	38116	4.6	14.4	10.8	12.44	-1.96	-0.136111111111
1	38118	4.02	14.4	10.8	12.324	-2.076	-0.144166666667
1	41588	1.44	14.4	10.8	11.808	-2.592	-0.18
2	95	374.61	269.76	202.32	290.73	20.97	0.0777357651246
2	96	532.63	293.28	219.96	341.15	47.87	0.163222858702
2	97	6.8	42.0	31.5	34.96	-7.04	-0.167619047619
2	102	27.96	88.8	66.6	76.632	-12.168	-0.137027027027
2	111	51.7	107.76	80.82	96.548	-11.212	-0.104046028211
2	118	4.33	59.76	44.82	48.674	-11.086	-0.185508701473
2	125	428.13	421.44	316.08	422.778	1.338	0.00317482915718
2	128	34.49	148.8	111.6	125.938	-22.862	-0.153642473118
2	130	53.27	126.96	95.22	112.222	-14.738	-0.116083805923
2	133	23.69	60.48	45.36	53.122	-7.358	-0.12166005291
2	145	16.35	36.96	27.72	32.838	-4.122	-0.111525974026
2	156	158.74	361.2	270.9	320.708	-40.492	-0.112104097453
2	168	225.55	189.36	142.02	196.598	7.238	0.0382234896493
2	171	5.64	14.4	10.8	12.648	-1.752	-0.121666666667
2	186	5.51	56.4	42.3	46.222	-10.178	-0.180460992908
2	190	46.1	91.2	68.4	82.18	-9.02	-0.0989035087719
2	196	36.53	88.32	66.24	77.962	-10.358	-0.11727807971
2	199	2.59	46.32	34.74	37.574	-8.746	-0.188816925734
2	203	195.88	128.88	96.66	142.28	13.4	0.103972687772
2	207	25.22	73.68	55.26	63.988	-9.692	-0.131541802389
2	212	138.86	187.44	140.58	177.724	-9.716	-0.0518352539479
2	234	23.79	67.92	50.94	59.094	-8.826	-0.129946996466
2	309	21.76	46.32	34.74	41.408	-4.912	-0.106044905009
2	310	28.65	99.36	74.52	85.218	-14.142	-0.142330917874
2	311	32.43	170.88	128.16	143.19	-27.69	-0.162043539326
2	314	1.8	26.88	20.16	21.864	-5.016	-0.186607142857
2	360	84.81	78.96	59.22	80.13	1.17	0.0148176291793
2	460	208.61	113.04	84.78	132.154	19.114	0.169090587403
2	609	69.11	163.44	122.58	144.574	-18.866	-0.115430739109
2	611	38.88	113.76	85.32	98.784	-14.976	-0.13164556962
2	710	38.62	82.8	62.1	73.964	-8.836	-0.106714975845
2	8493	10.66	65.28	48.96	54.356	-10.924	-0.167340686275
2	8516	157.25	171.84	128.88	168.922	-2.918	-0.0169809124767
2	8523	87.26	96.96	72.72	95.02	-1.94	-0.0200082508251
2	8537	4.63	46.32	34.74	37.982	-8.338	-0.180008635579
2	8543	28.47	165.36	124.02	137.982	-27.378	-0.165566037736
2	8546	1.29	33.84	25.38	27.33	-6.51	-0.192375886525
2	8558	23.74	46.32	34.74	41.804	-4.516	-0.0974956822107
2	8608	9.5	47.76	35.82	40.108	-7.652	-0.160217755444
2	8609	5.4	7.68	5.76	7.224	-0.456	-0.059375
2	8645	3.48	20.16	15.12	16.824	-3.336	-0.165476190476
2	8659	14.42	90.24	67.68	75.076	-15.164	-0.168040780142
2	8692	0.9	14.4	10.8	11.7	-2.7	-0.1875
2	8719	5.4	14.4	10.8	12.6	-1.8	-0.125
2	8735	10.08	52.8	39.6	44.256	-8.544	-0.161818181818
2	8746	2.8	21.36	16.02	17.648	-3.712	-0.173782771536
2	8752	3.8	3.12	2.34	3.256	0.136	0.0435897435897
2	14000	214.35	369.12	276.84	338.166	-30.954	-0.0838589076723
2	14001	36.11	35.04	26.28	35.254	0.214	0.00610730593607
2	14286	10.2	160.08	120.06	130.104	-29.976	-0.187256371814
2	14326	55.07	155.04	116.28	135.046	-19.994	-0.128960268318
2	14354	7.2	43.2	32.4	36.0	-7.2	-0.166666666667
2	14363	0.3	7.68	5.76	6.204	-1.476	-0.1921875
2	14379	0.9	46.32	34.74	37.236	-9.084	-0.196113989637
2	14419	13.18	55.92	41.94	47.372	-8.548	-0.152861230329
2	14455	176.33	125.76	94.32	135.874	10.114	0.0804230279898
2	14502	15.15	105.12	78.84	87.126	-17.994	-0.171175799087
2	15520	3.56	36.0	27.0	29.512	-6.488	-0.180222222222
2	22431	99.47	171.84	128.88	157.366	-14.474	-0.0842295158287
2	23065	31.97	70.8	53.1	63.034	-7.766	-0.109689265537
2	23087	68.84	166.32	124.74	146.824	-19.496	-0.11721981722
2	26515	1.1	20.16	15.12	16.348	-3.812	-0.189087301587
2	26516	1.8	43.2	32.4	34.92	-8.28	-0.191666666667
2	26523	19.76	67.2	50.4	57.712	-9.488	-0.14119047619
