sloc1	scate2	ps1	ps1a	as1	clk01	cost1	cash1	dispuser1	dispsub1	realcostuser1	realcostsub1
1005	14502	84	0	0	0	0.0	0.0	0	0	0	0
1005	8444	55	0	0	0	0.0	0.0	0	0	0	0
10106	14539	12	0	0	0	0.0	0.0	0	0	0	0
10115	350	19	0	0	0	0.0	0.0	0	0	0	0
10120	26521	16	0	0	0	0.0	0.0	0	0	0	0
10159	8608	2	0	0	0	0.0	0.0	0	0	0	0
10198	133	47	0	0	0	0.0	0.0	0	0	0	0
10260	34806	11	0	0	0	0.0	0.0	0	0	0	0
10285	36014	5	0	0	0	0.0	0.0	0	0	0	0
1029	8493	67	0	0	0	0.0	0.0	0	0	0	0
10362	8855	3	0	0	0	0.0	0.0	0	0	0	0
10387	38118	0	0	0	0	0.0	0.0	0	0	0	0
1039	14000	455	343	343	4	15.53	9.75	1	1	0	0
1039	8717	48	0	0	0	0.0	0.0	0	0	0	0
10417	26513	15	0	0	0	0.0	0.0	0	0	0	0
10434	37981	4	0	0	0	0.0	0.0	0	0	0	0
10454	35828	13	0	0	0	0.0	0.0	0	0	0	0
10467	34807	4	0	0	0	0.0	0.0	0	0	0	0
10467	611	99	0	0	0	0.0	0.0	0	0	0	0
10485	22431	49	0	0	0	0.0	0.0	0	0	0	0
10485	8516	102	0	0	0	0.0	0.0	0	0	0	0
10492	8608	4	0	0	0	0.0	0.0	0	0	0	0
10524	8855	6	0	0	0	0.0	0.0	0	0	0	0
10536	8735	21	0	0	0	0.0	0.0	0	0	0	0
10539	125	182	0	0	0	0.0	0.0	0	0	0	0
10539	8543	21	0	0	0	0.0	0.0	0	0	0	0
1057	8537	190	49	65	1	16.03	16.03	1	1	1	1
1067	190	65	0	0	0	0.0	0.0	0	0	0	0
11226	14526	10	0	0	0	0.0	0.0	0	0	0	0
11296	26517	0	0	0	0	0.0	0.0	0	0	0	0
12804	34323	11	0	0	0	0.0	0.0	0	0	0	0
14357	38117	0	0	0	0	0.0	0.0	0	0	0	0
14357	8442	10	0	0	0	0.0	0.0	0	0	0	0
188	8658	277	137	137	2	20.64	17.64	1	1	1	1
2032	96	848	0	0	0	0.0	0.0	0	0	0	0
2039	35691	13	0	0	0	0.0	0.0	0	0	0	0
2044	14526	55	0	0	0	0.0	0.0	0	0	0	0
2045	14354	110	35	55	1	12.74	12.74	0	1	0	1
2048	343	27	0	0	0	0.0	0.0	0	0	0	0
2048	8761	1	0	0	0	0.0	0.0	0	0	0	0
2049	171	38	0	0	0	0.0	0.0	0	0	0	0
2192	118	48	0	0	0	0.0	0.0	0	0	0	0
2248	125	299	270	518	15	37.7	25.14	2	2	2	2
2248	8543	43	0	0	0	0.0	0.0	0	0	0	0
228	118	143	0	0	0	0.0	0.0	0	0	0	0
2299	35981	20	0	0	0	0.0	0.0	0	0	0	0
2302	38118	1	0	0	0	0.0	0.0	0	0	0	0
2307	41588	0	0	0	0	0.0	0.0	0	0	0	0
2323	310	123	6	6	0	2.01	2.01	0	0	0	0
2325	35828	59	0	0	0	0.0	0.0	0	0	0	0
2344	23442	0	0	0	0	0.0	0.0	0	0	0	0
2347	14502	48	0	0	0	0.0	0.0	0	0	0	0
2347	8444	42	0	0	0	0.0	0.0	0	0	0	0
2354	118	47	0	0	0	0.0	0.0	0	0	0	0
2360	102	93	0	0	0	0.0	0.0	0	0	0	0
2363	8608	50	32	47	0	9.34	6.23	1	1	1	1
2372	35691	8	0	0	0	0.0	0.0	0	0	0	0
2378	35136	115	0	0	0	0.0	0.0	0	0	0	0
